Customer ID,Internal ID,Original Internal ID,Obligor Name,City,Country,Zip Code,Industry Code,Industry Code Type,Obligor Internal Risk Rating,TIN,Stock Exchange,Ticker Symbol
CUST0001,OBL0001,OBL0001,Company 1,Houston,Canada,86492,5222,NAICS,2,263241260,TSX,TICK1
CUST0002,OBL0002,OBL0002,Company 2,Houston,USA,80388,6113,SIC,4,889112029,NASDAQ,TICK2
CUST0003,OBL0003,OBL0003,Company 3,San Francisco,USA,90236,5415,NAICS,3,617828391,NASDAQ,TICK3
CUST0004,OBL0004,OBL0004,Company 4,Boston,USA,50278,6244,NAICS,5,297281955,NASDAQ,TICK4
CUST0005,OBL0005,OBL0005,Company 5,Los Angeles,France,56568,5222,SIC,4,115118518,LSE,TICK5
CUST0006,OBL0006,OBL0006,Company 6,Houston,Canada,86936,5411,NAICS,4,287902012,NYSE,TICK6
CUST0007,OBL0007,OBL0007,Company 7,Los Angeles,UK,27242,6113,SIC,5,788540811,Euronext,TICK7
CUST0008,OBL0008,OBL0008,Company 8,Houston,Canada,62578,5411,SIC,5,926849242,TSX,TICK8
CUST0009,OBL0009,OBL0009,Company 9,San Francisco,Germany,16512,6113,NAICS,2,161075681,Euronext,TICK9
CUST0010,OBL0010,OBL0010,Company 10,San Francisco,UK,29929,6244,NAICS,3,727341462,NYSE,TICK10
CUST0011,OBL0011,OBL0011,Company 11,Houston,UK,40391,6244,NAICS,2,555228288,TSX,TICK11
CUST0012,OBL0012,OBL0012,Company 12,Los Angeles,Germany,55515,4234,NAICS,3,933683907,Euronext,TICK12
CUST0013,OBL0013,OBL0013,Company 13,Houston,USA,55000,5415,NAICS,3,376753541,LSE,TICK13
CUST0014,OBL0014,OBL0014,Company 14,Chicago,France,85983,3361,NAICS,1,245277594,TSX,TICK14
CUST0015,OBL0015,OBL0015,Company 15,Houston,France,48793,5415,NAICS,4,586394319,TSX,TICK15
CUST0016,OBL0016,OBL0016,Company 16,Los Angeles,Germany,34776,6244,SIC,4,224935921,TSX,TICK16
CUST0017,OBL0017,OBL0017,Company 17,Boston,Germany,11443,6244,NAICS,3,105022009,TSX,TICK17
CUST0018,OBL0018,OBL0018,Company 18,Los Angeles,USA,11641,6244,NAICS,3,668440771,TSX,TICK18
CUST0019,OBL0019,OBL0019,Company 19,Boston,UK,23219,5222,SIC,2,658378852,TSX,TICK19
CUST0020,OBL0020,OBL0020,Company 20,San Francisco,UK,77492,5411,SIC,2,715138238,TSX,TICK20
CUST0021,OBL0021,OBL0021,Company 21,Los Angeles,UK,38673,6244,SIC,2,328549631,LSE,TICK21
CUST0022,OBL0022,OBL0022,Company 22,San Francisco,USA,13101,5415,NAICS,1,250164964,LSE,TICK22
CUST0023,OBL0023,OBL0023,Company 23,San Francisco,UK,14616,6244,SIC,5,810184398,NYSE,TICK23
CUST0024,OBL0024,OBL0024,Company 24,Chicago,USA,98603,5415,NAICS,4,746455004,NYSE,TICK24
CUST0025,OBL0025,OBL0025,Company 25,New York,Canada,66805,4234,SIC,4,461498127,TSX,TICK25
CUST0026,OBL0026,OBL0026,Company 26,San Francisco,Germany,84689,5415,NAICS,4,891496092,LSE,TICK26
